"","Year","Species Name","Escapement","CDN Harvest","Total Harvest","TRTC","Total Run","SEAK Harvest","SEAK ER","CDN ER","Total ER"
"180",1974,"Pink (even years)",188245.450083514,73461.3161754475,133041.116380681,261706.766258962,321286.566464195,59579.8002052335,0.18544130512806,0.228647331831828,0.414088636959888
"181",1976,"Pink (even years)",323801.034825546,31755.5486162888,112701.068313545,355556.583441835,436502.103139092,80945.5196972562,0.18544130512806,0.0727500472229566,0.258191352351016
"182",1978,"Pink (even years)",746205.478174912,387484.123082802,645578.32868255,1133689.60125771,1391783.80685746,258094.205599748,0.185441305128061,0.278408270863354,0.463849575991415
"183",1980,"Pink (even years)",242253.102436568,111093.613954128,191536.03837697,353346.716390696,433789.140813538,80442.424422842,0.185441305128059,0.256100495613561,0.441541800741621
"184",1982,"Pink (even years)",855053.724766462,473147.683008352,680376.490289045,1328201.40777481,1535430.21505551,207228.807280693,0.134964653716419,0.308153166694877,0.443117820411296
"185",1984,"Pink (even years)",907851.665037211,791125.823931751,1113652.19420285,1698977.48896896,2021503.85924006,322526.370271099,0.159547739073991,0.391355089586204,0.550902828660195
"186",1986,"Pink (even years)",667747.737404743,516264.544784458,845700.605876859,1184012.2821892,1513448.3432816,329436.061092401,0.217672484531641,0.341118048115897,0.558790532647538
"187",1988,"Pink (even years)",293812.478694282,264361.052131823,328792.040719652,558173.530826105,622604.519413934,64430.9885878291,0.103486220511985,0.424605096636095,0.52809131714808
"188",1990,"Pink (even years)",268043.648749189,117807.097277826,212306.712308805,385850.746027015,480350.361057994,94499.615030979,0.196730600603358,0.245252438279323,0.441983038882681
"189",1992,"Pink (even years)",382438.195220799,219993.781366868,339007.661215755,602431.976587667,721445.856436554,119013.879848887,0.16496578196004,0.304934569107495,0.469900351067535
"190",1994,"Pink (even years)",295423.987719189,76878.4903867748,153414.942518191,372302.478105964,448838.93023738,76536.4521314162,0.170520975288257,0.171283026510458,0.341804001798716
"191",1996,"Pink (even years)",540987.920420167,306151.366705062,500953.522279101,847139.287125229,1041941.44269927,194802.155574039,0.186960751910761,0.293827804671961,0.480788556582722
"192",1998,"Pink (even years)",282319.392511712,52223.8532844384,113401.13765108,334543.245796151,395720.530162793,61177.2843666416,0.154597196009705,0.131971553922043,0.286568749931748
"193",2000,"Pink (even years)",609806.683608425,224307.17395159,339593.266868455,834113.857560015,949399.95047688,115286.092916865,0.121430481283422,0.2362620451359,0.357692526419323
"194",2002,"Pink (even years)",1093070.35648899,272516.231428206,454547.737901095,1365586.5879172,1547618.09439009,182031.506472889,0.117620430474888,0.176087519534723,0.293707950009612
"195",2004,"Pink (even years)",994885.23346183,422449.562068305,665729.64120734,1417334.79553013,1660614.87466917,243280.079139035,0.146500000000001,0.254393459020693,0.400893459020694
"196",2006,"Pink (even years)",250916.254293922,35911.0910020898,55702.0980003067,286827.345296012,306618.352294229,19791.0069982169,0.0645460614152201,0.117119835565582,0.181665896980802
"197",2008,"Pink (even years)",113910.486265346,5820.59088157866,20279.1216124522,119731.077146924,134189.607877798,14458.5307308735,0.107747022735475,0.0433758692169313,0.151122891952406
"198",2010,"Pink (even years)",507840.241453554,11413.6729163896,89169.9976028234,519253.914369943,597010.239056377,77756.3246864338,0.130242866201648,0.0191180522036437,0.149360918405292
"199",2012,"Pink (even years)",630123.103659702,49773.3051187941,161490.064829444,679896.408778496,791613.168489145,111716.75971065,0.141125443786982,0.0628757922430602,0.204001236030043
"200",2014,"Pink (even years)",828145.89904281,79750.7661557547,245918.205216675,907896.665198565,1074064.10425949,166167.43906092,0.154709051724137,0.0742514025368519,0.228960454260989
"201",2016,"Pink (even years)",751541.896869208,96511.6353023901,228868.903960688,848053.532171598,980410.800829896,132357.268658298,0.135001846722068,0.0984399959901453,0.233441842712214
"202",1955,"Pink (odd years)",62244.7918124088,28193.6945274209,48782.7951609865,90438.4863398296,111027.586973395,20589.1006335656,0.18544130512806,0.253934137415567,0.439375442543627
"203",1957,"Pink (odd years)",44994.1212452898,32311.4926516482,49910.7817207163,77305.6138969381,94904.9029660061,17599.2890690681,0.18544130512806,0.340461784816553,0.525903089944613
"204",1959,"Pink (odd years)",290461.685923637,125337.763622043,219998.090840577,415799.449545681,510459.776764214,94660.327218534,0.18544130512806,0.245538961789614,0.430980266917674
"205",1961,"Pink (odd years)",398401.27127421,144921.62001838,268613.757493002,543322.89129259,667015.028767213,123692.137474622,0.185441305128059,0.217268897653215,0.402710202781275
"206",1963,"Pink (odd years)",323725.922325825,15487.2789830003,92712.0869230413,339213.201308826,416438.009248867,77224.807940041,0.18544130512806,0.0371898785390288,0.222631183667089
"207",1965,"Pink (odd years)",414443.896736316,195089.147649833,333854.596943107,609533.04438615,748298.493679423,138765.449293274,0.185441305128061,0.260710330566843,0.446151635694904
